"subj" "expt" "item" "cond" "pos" "word" "region" "rt" "dist.SR" "dist.OR" "RCType" "dist" "int" "lrt"
"8564" 15 "RC1" 20 "b" "3" "बनायी_थी" "RCVerb" 281 -1 0 -1 -1 1 5.63835466933375
"8592" 15 "RC1" 2 "d" "3" "खाया_था" "RCVerb" 734 0 -1 1 -1 -1 6.59850902861452
"8645" 15 "RC1" 19 "a" "4" "फेकीं_थीं," "RCVerb" 453 1 0 -1 1 -1 6.11589212548303
"8723" 15 "RC1" 3 "a" "4" "चुनी_थीं," "RCVerb" 297 1 0 -1 1 -1 5.6937321388027
"8770" 15 "RC1" 24 "b" "4" "बेचीं_थीं" "RCVerb" 500 -1 0 -1 -1 1 6.21460809842219
"8810" 15 "RC1" 8 "b" "3" "रखी_थी" "RCVerb" 469 -1 0 -1 -1 1 6.15060276844628
"8829" 15 "RC1" 10 "d" "3" "मांगा_था" "RCVerb" 875 0 -1 1 -1 -1 6.77422388635761
"8967" 16 "RC1" 5 "d" "3" "खरीदा_था" "RCVerb" 610 0 -1 1 -1 -1 6.41345895716736
"9113" 16 "RC1" 24 "c" "5" "बेचा_था," "RCVerb" 718 0 1 1 1 1 6.57646956904822
"9206" 16 "RC1" 11 "b" "3" "बनायी_थी" "RCVerb" 781 -1 0 -1 -1 1 6.66057514983969
"9250" 16 "RC1" 16 "c" "5" "खोला_था," "RCVerb" 812 0 1 1 1 1 6.69950034016168
"9289" 16 "RC1" 2 "a" "4" "खायी_थी," "RCVerb" 625 1 0 -1 1 -1 6.4377516497364
"9308" 16 "RC1" 22 "a" "4" "पकड़ी_थी," "RCVerb" 1063 1 0 -1 1 -1 6.96885037834195
"9344" 16 "RC1" 1 "d" "3" "पढ़ा_था" "RCVerb" 766 0 -1 1 -1 -1 6.64118216974059
"9386" 16 "RC1" 7 "b" "3" "साफ_की_थी" "RCVerb" 875 -1 0 -1 -1 1 6.77422388635761
"9403" 16 "RC1" 13 "d" "3" "सुलझाया_था" "RCVerb" 578 0 -1 1 -1 -1 6.35957386867238
"9433" 16 "RC1" 4 "c" "4" "खाया_था," "RCVerb" 547 0 1 1 1 1 6.30444880242198
"9509" 16 "RC1" 14 "a" "4" "खरीदी_थी," "RCVerb" 968 1 0 -1 1 -1 6.87523208727658
"9648" 16 "RC1" 15 "b" "3" "खरीदी_थी" "RCVerb" 2094 -1 0 -1 -1 1 7.64683139143048
"9665" 16 "RC1" 6 "a" "4" "गायी_थी," "RCVerb" 641 1 0 -1 1 -1 6.46302945692067
"9689" 16 "RC1" 23 "b" "3" "उठा_ली_थी" "RCVerb" 797 -1 0 -1 -1 1 6.68085467879022
"9736" 16 "RC1" 12 "c" "6" "दिखाया_था," "RCVerb" 844 0 1 1 1 1 6.73815249459596
"9760" 16 "RC1" 3 "b" "3" "चुनी_थीं" "RCVerb" 532 -1 0 -1 -1 1 6.27664348934164
"9822" 16 "RC1" 20 "c" "4" "बनाया_था," "RCVerb" 1110 0 1 1 1 1 7.01211529430638
"9890" 16 "RC1" 19 "b" "3" "फेकीं_थीं" "RCVerb" 1250 -1 0 -1 -1 1 7.13089883029635
"9914" 16 "RC1" 9 "d" "4" "काटा_था" "RCVerb" 672 0 -1 1 -1 -1 6.51025834052315
"9951" 16 "RC1" 17 "d" "3" "पहना_हुआ_था" "RCVerb" 1031 0 -1 1 -1 -1 6.93828448401696
